Entity;Code;Date;Total confirmed deaths due to COVID-19 (deaths);deaths/day;;;
Afghanistan;AFG;26-Mar-20;1;;;;
Afghanistan;AFG;27-Mar-20;1;;;;
Afghanistan;AFG;28-Mar-20;2;;;;
Afghanistan;AFG;29-Mar-20;3;;;;
Afghanistan;AFG;30-Mar-20;4;;;;
Afghanistan;AFG;31-Mar-20;4;;;;
Afghanistan;AFG;01-Apr-20;4;;;;
Afghanistan;AFG;02-Apr-20;4;;;;
Afghanistan;AFG;03-Apr-20;4;;;;
Afghanistan;AFG;04-Apr-20;4;;;;
Afghanistan;AFG;05-Apr-20;5;;;;
Africa;;31-Dec-19;0;;;;
Africa;;01-Jan-20;0;;;;
Africa;;02-Jan-20;0;;;;
Africa;;03-Jan-20;0;;;;
Africa;;04-Jan-20;0;;;;
Africa;;05-Jan-20;0;;;;
Africa;;06-Jan-20;0;;;;
Africa;;07-Jan-20;0;;;;
Africa;;08-Jan-20;0;;;;
Africa;;09-Jan-20;0;;;;
Africa;;10-Jan-20;0;;;;
Africa;;11-Jan-20;0;;;;
Africa;;12-Jan-20;0;;;;
Africa;;13-Jan-20;0;;;;
Africa;;14-Jan-20;0;;;;
Africa;;15-Jan-20;0;;;;
Africa;;16-Jan-20;0;;;;
Africa;;17-Jan-20;0;;;;
Africa;;18-Jan-20;0;;;;
Africa;;19-Jan-20;0;;;;
Africa;;20-Jan-20;0;;;;
Africa;;21-Jan-20;0;;;;
Africa;;22-Jan-20;0;;;;
Africa;;23-Jan-20;0;;;;
Africa;;24-Jan-20;0;;;;
Africa;;25-Jan-20;0;;;;
Africa;;26-Jan-20;0;;;;
Africa;;27-Jan-20;0;;;;
Africa;;28-Jan-20;0;;;;
Africa;;29-Jan-20;0;;;;
Africa;;30-Jan-20;0;;;;
Africa;;31-Jan-20;0;;;;
Africa;;01-Feb-20;0;;;;
Africa;;02-Feb-20;0;;;;
Africa;;03-Feb-20;0;;;;
Africa;;04-Feb-20;0;;;;
Africa;;05-Feb-20;0;;;;
Africa;;06-Feb-20;0;;;;
Africa;;07-Feb-20;0;;;;
Africa;;08-Feb-20;0;;;;
Africa;;09-Feb-20;0;;;;
Africa;;10-Feb-20;0;;;;
Africa;;11-Feb-20;0;;;;
Africa;;12-Feb-20;0;;;;
Africa;;13-Feb-20;0;;;;
Africa;;14-Feb-20;0;;;;
Africa;;15-Feb-20;0;;;;
Africa;;16-Feb-20;0;;;;
Africa;;17-Feb-20;0;;;;
Africa;;18-Feb-20;0;;;;
Africa;;19-Feb-20;0;;;;
Africa;;20-Feb-20;0;;;;
Africa;;21-Feb-20;0;;;;
Africa;;22-Feb-20;0;;;;
Africa;;23-Feb-20;0;;;;
Africa;;24-Feb-20;0;;;;
Africa;;25-Feb-20;0;;;;
Africa;;26-Feb-20;0;;;;
Africa;;27-Feb-20;0;;;;
