country,date,confirmed,tests ,cases/100 tests,media2days,media3days,cumulative
USA,04/03/2020,118,,,,,118
USA,05/03/2020,58,,,,,176
USA,06/03/2020,57,,,,,233
USA,07/03/2020,118,0,,,,351
USA,08/03/2020,76,857,"8,8681446907818",,,427
USA,09/03/2020,167,1757,"9,50483779169038","9,18649124123609",,594
USA,10/03/2020,194,2490,"7,79116465863454","8,64800122516246","8,72138238036891",788
USA,11/03/2020,275,3808,"7,22163865546218","7,50640165704836","8,17254703526237",1063
USA,12/03/2020,262,5247,"4,99332952163141","6,1074840885468","6,66871094524271",1325
USA,13/03/2020,607,9161,"6,62591420150639","5,8096218615689","6,28029412619999",1932
USA,14/03/2020,528,4575,"11,5409836065574","9,08344890403188","7,72007577656506",2460
USA,15/03/2020,723,7600,"9,51315789473684","10,5270707506471","9,22668523426687",3183
USA,16/03/2020,846,17841,"4,74188666554565","7,12752228014125","8,59867605561329",4029
USA,17/03/2020,1703,15683,"10,8588917936619","7,80038922960379","8,37131211798148",5732
USA,18/03/2020,2008,24734,"8,11837955850247","9,4886356760822","7,90638600590335",7740
USA,19/03/2020,3989,27671,"14,4158143905171","11,2670969745098","11,1310285808938",11729
USA,20/03/2020,5314,36282,"14,646381125627","14,5310977580721","12,3935250248822",17043
USA,21/03/2020,6164,44884,"13,7331788610641","14,1897799933456","14,2651247924028",23207
USA,22/03/2020,8682,44344,"19,5787479704131","16,6559634157386","15,9861026523681",31889
USA,23/03/2020,10273,57597,"17,8359984026946","18,7073731865539","17,0493084113906",42162
USA,24/03/2020,9802,68454,"14,3191048003039","16,0775516014992","17,2446170578039",51964
USA,25/03/2020,11974,83546,"14,3322241639336","14,3256644821187","15,4957757889774",63938
USA,26/03/2020,16807,101065,"16,6298916538861","15,4810579089099","15,0937402060412",80745
USA,27/03/2020,18678,102936,"18,1452553042667","17,3875734790764","16,3691237073622",99423
USA,28/03/2020,18821,104453,"18,0186303887873","18,081942846527","17,5979257823134",118244
USA,29/03/2020,20827,87621,"23,7694160075781","20,8940231981827","19,977767233544",139071
USA,30/03/2020,21469,117611,"18,2542449260698","21,011830466824","20,0140971074784",160540
USA,31/03/2020,24240,111071,"21,8238784201097","20,0390616730897","21,2825131179192",184780
USA,01/04/2020,24998,107583,"23,2360131247502","22,5299457724299","21,1047121569766",209778
USA,02/04/2020,27103,117863,"22,9953420496678","23,115677587209","22,6850778648426",236881
USA,03/04/2020,28819,132548,"21,7423122189697","22,3688271343188","22,6578891311293",265700
USA,04/04/2020,32425,228479,"14,1916762590873","17,9669942390285","19,6431101759083",298125
USA,05/04/2020,34272,119336,"28,7189113092445","21,4552937841659","21,5509665957672",332397
USA,06/04/2020,25398,151200,"16,797619047619","22,7582651784318","19,9027355386503",357795
USA,07/04/2020,30561,152905,"19,986919982996","18,3922695153075","21,8344834466198",388356
USA,08/04/2020,30613,144231,"21,2249793733663","20,6059496781812","19,3365061346605",418969
USA,09/04/2020,33323,165886,"20,0878916846509","20,6564355290086","20,4332636803377",452292
USA,10/04/2020,33901,157988,"21,4579588323164","20,7729252584836","20,9236099634445",486193
USA,11/04/2020,35527,139247,"25,5136555904256","23,485807211371","22,3531687024643",521720
USA,12/04/2020,28391,140553,"20,1994976983771","22,8565766444014","22,3903707070397",550111
USA,13/04/2020,27620,133221,"20,7324671035347","20,4659824009559","22,1485401307792",577731
USA,14/04/2020,25023,150742,"16,5998858977591","18,6661765006469","19,177283566557",602754
USA,15/04/2020,26922,136727,"19,6903318291193","18,1451088634392","19,0075616101377",629676
USA,16/04/2020,30148,162576,"18,543942525342","19,1171371772307","18,2780534174068",659824
USA,17/04/2020,31667,158201,"20,0169404744597","19,2804414999008","19,4170716096403",691491
USA,18/04/2020,30833,142139,"21,6921464200536","20,8545434472567","20,0843431399518",722324
USA,19/04/2020,32922,160569,"20,5033350148534","21,0977407174535","20,7374739697889",755246
USA,20/04/2020,24601,146177,"16,8295969954234","18,6664660051384","19,6750261434435",779847
USA,21/04/2020,28065,148926,"18,8449296966279","17,8372633460256","18,7259539023015",807912
USA,22/04/2020,37289,316805,"11,7703319076403","15,3076308021341","15,8149528665639",845201
USA,23/04/2020,17588,194712,"9,03282797156827","10,4015799396043","13,2160298586122",862789
USA,24/04/2020,26543,234959,"11,2968645593487","10,1648462654585","10,7000081461858",889332
USA,25/04/2020,21352,279527,"7,6386180941376","9,46774132674312","9,32277020835151",910684
USA,26/04/2020,48529,207314,"23,4084528782427","15,5235354861901","14,114645177243",959213
USA,27/04/2020,26857,197249,"13,6157851243859","18,5121190013143","14,8876186989221",986070
USA,28/04/2020,22541,205176,"10,9861777205911","12,3009814224885","16,0034719077399",1008611
USA,29/04/2020,24132,233623,"10,3294624245044","10,6578200725478","11,6438084231605",1032743
USA,30/04/2020,27326,230613,"11,8492886350726","11,0893755297885","11,054976260056",1060069
USA,01/05/2020,29917,296881,"10,0771015996308","10,9631951173517","10,7519508864026",1089986
USA,02/05/2020,33955,250403,"13,5601410526232","11,818621326127","11,8288437624422",1123941
USA,03/05/2020,29288,240881,"12,1587007692595","12,8594209109413","11,9319811405045",1153229
USA,04/05/2020,24972,233820,"10,6800102643059","11,4193555167827","12,1329506953962",1178201
USA,05/05/2020,22593,260818,"8,66236226027345","9,67118626228966","10,5003577646129",1200794
USA,06/05/2020,23841,246132,"9,68626590609917","9,17431408318631","9,67621281022616",1224635
USA,07/05/2020,24128,304305,"7,92888713626132","8,80757652118024","8,75917176754464",1248763
USA,08/05/2020,28369,299269,"9,4794315482058","8,70415934223356","9,03152819685543",1277132
USA,09/05/2020,26957,293553,"9,18300954171819","9,33122054496199","8,8637760753951",1304089
USA,10/05/2020,25612,271207,"9,44370904880774","9,31335929526296","9,36871671291057",1329701
USA,11/05/2020,20258,384644,"5,26668815840102","7,35519860360438","7,96446891630898",1349959
USA,12/05/2020,18117,304745,"5,94497038507605","5,60582927173853","6,8851225307616",1368076
USA,13/05/2020,22048,296025,"7,44801959293979","6,69649498900792","6,21989271213895",1390124
USA,14/05/2020,20782,376751,"5,51611010986036","6,48206485140007","6,3030333626254",1410906
USA,15/05/2020,27143,362941,"7,47862600257342","6,49736805621689","6,81425190179119",1438049
USA,16/05/2020,25508,352936,"7,22737266813247","7,35299933535294","6,74070292685542",1463557
USA,17/05/2020,24487,402963,"6,07673657382936","6,65205462098091","6,92757841484508",1488044
USA,18/05/2020,18873,345547,"5,46177509861177","5,76925583622056","6,2552947801912",1506917
USA,19/05/2020,21841,396791,"5,50440912218271","5,48309211039724","5,68097359820795",1528758
USA,20/05/2020,19970,405404,"4,92595040996142","5,21517976607207","5,29737821025197",1548728
USA,21/05/2020,23285,416546,"5,5900188694646","5,25798463971301","5,34012613386958",1572013
USA,22/05/2020,25434,394296,"6,45048390041999","6,02025138494229","5,655484393282",1597447
USA,23/05/2020,24147,365728,"6,60244772071047","6,52646581056523","6,21431683019835",1621594
