country,date,confirmed,tests ,cases/100 tests,media2days,media3days,cumulative
USA,04/03/2020,118,,,,,118
USA,05/03/2020,58,,,,,176
USA,06/03/2020,57,,,,,233
USA,07/03/2020,118,3753,"3,14415134559019",,,351
USA,08/03/2020,76,871,"8,7256027554535","5,93487705052185",,427
USA,09/03/2020,167,1796,"9,29844097995546","9,01202186770448","7,05606502699972",594
USA,10/03/2020,194,2412,"8,04311774461028","8,67077936228287","8,68905382667308",788
USA,11/03/2020,275,3748,"7,33724653148346","7,69018213804687","8,22626841868306",1063
USA,12/03/2020,262,5137,"5,10025306599182","6,21874979873764","6,82687244736185",1325
USA,13/03/2020,607,9056,"6,70273851590106","5,90149579094644","6,38007937112545",1932
USA,14/03/2020,528,4518,"11,6865869853918","9,19466275064641","7,82985952242822",2460
USA,15/03/2020,723,7658,"9,44110733873074","10,5638471620613","9,27681094667452",3183
USA,16/03/2020,846,17661,"4,79021572957364","7,11566153415219","8,63930335123205",4029
USA,17/03/2020,1703,15609,"10,9103722211545","7,85029397536405","8,38056509648628",5732
USA,18/03/2020,2008,24639,"8,14968139940744","9,53002681028095","7,95008978337851",7740
USA,19/03/2020,3989,27400,"14,5583941605839","11,3540377799957","11,2061492603819",11729
USA,20/03/2020,5314,36161,"14,6953900611156","14,6268921108498","12,4678218737023",17043
USA,21/03/2020,6164,44753,"13,7733783210064","14,234384191061","14,3423875142353",23207
USA,22/03/2020,8682,44597,"19,4676771980178","16,6205277595121","15,9788151933799",31889
USA,23/03/2020,10273,57135,"17,9802222805636","18,7239497392907","17,0737592665293",42162
USA,24/03/2020,9802,68613,"14,2859224928221","16,1330723866928","17,2446073238011",51964
USA,25/03/2020,11974,83487,"14,3423527016182","14,3141375972201","15,5361658250013",63938
USA,26/03/2020,16807,100464,"16,729375696767","15,5358641991926","15,1192169637358",80745
USA,27/03/2020,18678,103070,"18,1216648879402","17,4255202923536","16,3977977621085",99423
USA,28/03/2020,18821,104366,"18,033650805818","18,0776578468791","17,6282304635084",118244
USA,29/03/2020,20827,88780,"23,4591124127056","20,7463816092618","19,8714760354879",139071
USA,30/03/2020,21469,117450,"18,2792677735206","20,8691900931131","19,9240103306814",160540
USA,31/03/2020,24240,111094,"21,8193601814679","20,0493139774943","21,185913455898",184780
USA,01/04/2020,24998,107582,"23,2362291089587","22,5277946452133","21,1116190213158",209778
USA,02/04/2020,27103,118023,"22,9641680011523","23,1001985550555","22,6732524305263",236881
USA,03/04/2020,28819,132232,"21,794270675782","22,3792193384671","22,6648892619643",265700
USA,04/04/2020,32425,228797,"14,1719515553089","17,9831111155454","19,6434634107477",298125
USA,05/04/2020,34272,119659,"28,6413892812074","21,4066704182581","21,5358705040994",332397
USA,06/04/2020,25398,150730,"16,8499966828103","22,7456929820089","19,8877791731089",357795
USA,07/04/2020,30561,152745,"20,0078562309732","18,4289264568918","21,8330807316637",388356
USA,08/04/2020,30613,144433,"21,1952947041189","20,601575467546","19,3510492059675",418969
USA,09/04/2020,33323,165833,"20,0943117473603","20,6448032257396","20,4324875608174",452292
USA,10/04/2020,33901,157745,"21,491013978256","20,7926628628082","20,9268734765784",486193
USA,11/04/2020,35527,138547,"25,6425617299545","23,5667878541052","22,4092958185236",521720
USA,12/04/2020,28391,141768,"20,0263811297331","22,8344714298438","22,3866522793145",550111
USA,13/04/2020,27620,132993,"20,7680103464092","20,3971957380711","22,1456510686989",577731
USA,14/04/2020,25023,150416,"16,6358632060419","18,7019367762256","19,1434182273947",602754
USA,15/04/2020,26922,136833,"19,6750783802153","18,1554707931286","19,0263173108888",629676
USA,16/04/2020,30148,162126,"18,5954134438646","19,13524591204","18,302118343374",659824
USA,17/04/2020,31667,157920,"20,0525582573455","19,3239858506051","19,4410166938085",691491
USA,18/04/2020,30833,142315,"21,6653198889787","20,8589390731621","20,1044305300629",722324
USA,19/04/2020,32922,166458,"19,7779620084346","20,7216409487066","20,4986133849196",755246
USA,20/04/2020,24601,147512,"16,677287271544","18,2276246399893","19,3735230563191",779847
USA,21/04/2020,28065,148079,"18,952721182612","17,815004227078","18,4693234875302",807912
USA,22/04/2020,37289,314821,"11,844508466716","15,398614824664","15,824838973624",845201
USA,23/04/2020,17588,191779,"9,17097283852768","10,5077406526218","13,3227341626186",862789
USA,24/04/2020,26543,231819,"11,4498811572822","10,3104269979049","10,8217874875086",889332
USA,25/04/2020,21352,271256,"7,87153095231073","9,66070605479646","9,49746164937353",910684
USA,26/04/2020,48529,206403,"23,5117706622481","15,6916508072794","14,2777275906137",959213
USA,27/04/2020,26857,190443,"14,1023823401228","18,8070765011854","15,1618946515605",986070
USA,28/04/2020,22541,202233,"11,1460543036992","12,624218321911","16,2534024353567",1008611
USA,29/04/2020,24132,230442,"10,472049366001","10,8090518348501","11,906828669941",1032743
USA,30/04/2020,27326,220522,"12,3915074232956","11,4317783946483","11,3365370309986",1060069
USA,01/05/2020,29917,305118,"9,80505902634391","11,0982832248198","10,8895386052135",1089986
USA,02/05/2020,33955,253431,"13,3981241442444","11,6015915852941","11,864896864628",1123941
USA,03/05/2020,29288,248125,"11,8037279596977","12,6009260519711","11,668970376762",1153229
USA,04/05/2020,,,,,,
Italy,26/02/2020,93,964,"9,64730290456432",,,93
Italy,27/02/2020,78,2427,"3,21384425216316","6,43057357836374",,186
Italy,28/02/2020,250,3681,"6,79163270850312","5,00273848033315","6,55092662174354",264
Italy,29/02/2020,238,2966,"8,02427511800405","7,40795391325359","6,00991735955678",514
Italy,01/03/2020,240,2466,"9,7323600973236","8,87831760766382","8,18275597461026",752
Italy,02/03/2020,561,2218,"25,2930568079351","17,5127084526293","14,3498973410876",992
Italy,03/03/2020,146,2511,"5,81441656710474","15,5537366875199","13,6132778241211",1553
Italy,04/03/2020,667,3981,"16,7545842753077","11,2845004212062","15,9540192167825",1699
Italy,05/03/2020,587,2525,"23,2475247524752","20,0010545138915","15,2721751982959",2366
Italy,06/03/2020,769,3997,"19,2394295721791","21,2434771623272","19,7471795333207",2953
Italy,07/03/2020,778,5703,"13,6419428371033","16,4406862046412","18,7096323872526",3722
Italy,08/03/2020,1247,7875,"15,8349206349206","14,738431736012","16,2387643480677",4500
Italy,09/03/2020,1492,3889,"38,364618153767","27,0997693943438","22,613827208597",5747
Italy,10/03/2020,1797,6935,"25,9120403749099","32,1383292643385","26,7038597211992",7239
Italy,11/03/2020,977,12393,"7,88348261115146","16,8977614930307","24,0533803799428",9036
Italy,12/03/2020,2313,12857,"17,9901998911099","12,9368412511307","17,2619076257237",10013
Italy,13/03/2020,2651,11477,"23,0983706543522","20,544285272731","16,3240177188712",12326
Italy,14/03/2020,2547,11682,"21,8027734976887","22,4505720760205","20,9637813477169",14977
Italy,15/03/2020,90,15729,"0,572191493419798","11,1874824955543","15,1577785484869",17524
Italy,16/03/2020,6230,13063,"47,6919543749522","24,132072934186","23,3556397886869",17614
